,ext,name
147,"{'', '.xlsm', '.html', '.xls', '.h5', '.xlsx', '.txt', '.msgpack', '.gz', '.pickle', '.yaml', '.json', '.dta', '.pyd', '.bz2', '.csv', '.xpt', '.rendered', '.pyc', '.py', '.sas7bdat'}",pandas-0.19.2-np111py27_0.tar.bz2
148,"{'', '.exe', '.txt', '.yaml', '.json', '.pyc', '.py', '.template'}",conda-execute-0.8.1-py36_2.tar.bz2
149,"{'', '.exe', '.txt', '.yaml', '.json', '.pyc', '.py', '.template'}",tqdm-4.7.4-py27_0.tar.bz2
150,"{'', '.html', '.pyx', '.h', '.js', '.exe', '.txt', '.png', '.yaml', '.css', '.fragmentshader', '.json', '.c', '.pyd', '.cu', '.vertexshader', '.pxd', '.rendered', '.pyc', '.py'}",yt-3.3.2-np110py27_2.tar.bz2
151,"{'', '.yml', '.html', '.js', '.exe', '.bat', '.txt', '.png', '.svg', '.scss', '.yaml', '.css', '.map', '.json', '.gif', '.md', '.jst', '.sh', '.rendered', '.pyc', '.py'}",jupyter_dashboards-0.6.1-py35_0.tar.bz2
152,"{'', '.txt', '.yaml', '.json', '.pyc', '.py', '.template'}",validate_email-1.3-py35_0.tar.bz2
153,"{'', '.dbf', '.patch', '.bat', '.txt', '.shx', '.npz', '.shp', '.yaml', '.png', '.pyc', '.json', '.pyd', '.TXT', '.rendered', '.sh', '.jpg', '.nc', '.py'}",cartopy-0.14.2-np111py27_1.tar.bz2
154,"{'', '.dbf', '.cpg', '.bat', '.txt', '.shp', '.shx', '.yaml', '.json', '.pyc', '.py'}",geopandas-0.1.1-py27_0.tar.bz2
155,"{'', '.exe', '.txt', '.yaml', '.json', '.tmpl', '.sh', '.pyc', '.py', '.template'}",conda-smithy-2.2.2-py36_0.tar.bz2
156,"{'', '.m', '.bat', '.txt', '.yaml', '.json', '.sh', '.pyc', '.py', '.template'}",octave_kernel-0.21.0-py34_0.tar.bz2
157,"{'', '.txt', '.yaml', '.json', '.rendered', '.pyc', '.py'}",azure-mgmt-compute-0.20.1-py35_0.tar.bz2
158,"{'', '.ttf', '.html', '.LICENSE', '.js', '.txt', '.woff', '.svg', '.yaml', '.css', '.json', '.eot', '.rendered', '.jpg', '.pyc', '.py'}",pydy-0.3.1-py27_0.tar.bz2
159,"{'', '.html', '.txt', '.cfg', '.py', '.yaml', '.json', '.rendered', '.po', '.pyc', '.mo', '.pot'}",flask-user-0.6.8-py27_0.tar.bz2
160,"{'', '.tplx', '.tpl', '.exe', '.ipynb', '.png', '.txt', '.yaml', '.css', '.json', '.md', '.egg-info', '.jpeg', '.pyc', '.py'}",nbconvert-4.2.0-py35_0.tar.bz2
161,"{'', '.cc', '.h', '.patch', '.bat', '.txt', '.inl', '.hh', '.lib', '.yaml', '.json', '.pyd', '.sh', '.rendered'}",openmesh-6.3-py27_vc9_0.tar.bz2
162,"{'', '.js', '.bat', '.txt', '.png', '.yaml', '.json', '.sh', '.pyc', '.py'}",nb_conda_kernels-1.0.3-py34_0.tar.bz2
163,"{'', '.txt', '.yaml', '.json', '.pyc', '.py', '.template'}",dask-ndfilters-0.1.1-py27_0.tar.bz2
164,"{'', '.exe', '.txt', '.yaml', '.json', '.pyc', '.py', '.template'}",conda-execute-0.8.1-py35_2.tar.bz2
165,"{'', '.exe', '.txt', '.yaml', '.json', '.pyc', '.py', '.template'}",autopep8-1.3.2-py36_0.tar.bz2
166,"{'.egg', '', '.bat', '.pickle', '.yaml', '.json', '.pth', '.sh'}",cycler-0.9.0-py35_0.tar.bz2
167,"{'', '.patch', '.exe', '.bat', '.txt', '.xml', '.yaml', '.json', '.tmpl', '.sh', '.rendered', '.pyc', '.py'}",setuptools-28.7.1-py34_0.tar.bz2
168,"{'', '.vtk', '.geo', '.ele', '.pyd', '.inp', '.sh', '.pxd', '.bat', '.json', '.mesh', '.mesh3d', '.pyc', '.iga', '.py', '.template', '.exe', '.txt', '.yaml', '.node', '.med', '.msh', '.bdf', '.rst'}",sfepy-2016.4-np110py34_0.tar.bz2
169,"{'', '.txt', '.yaml', '.json', '.pyc', '.py'}",emcee-2.1.0-py34_0.tar.bz2
170,"{'', '.png', '.obj', '.info', '.pyd', '.tab', '.json', '.basket', '.pyc', '.qss', '.py', '.updating', '.html', '.xlsx', '.exe', '.txt', '.svg', '.yaml', '.pyw', '.gs', '.ows', '.js', '.fs', '.vs'}",orange3-3.3.7-np110py34_0.tar.bz2
171,"{'', '.yaml', '.json', '.egg-info', '.pyc', '.py'}",rios-1.4.3-py34_1.tar.bz2
172,"{'', '.m', '.bat', '.txt', '.yaml', '.json', '.sh', '.pyc', '.py', '.template'}",octave_kernel-0.23.2-py27_0.tar.bz2
173,"{'', '.patch', '.png', '.gif', '.afm', '.pyd', '.sh', '.bat', '.json', '.pyc', '.py', '.mplstyle', '.html', '.txt', '.svg', '.yaml', '.css', '.pdf', '.ttf', '.js', '.ipynb', '.ppm'}",matplotlib-2.0.0b2-np111py34_3.tar.bz2
174,"{'', '.exe', '.txt', '.yaml', '.json', '.pyc', '.py', '.template'}",deepdish-0.3.4-py35_1.tar.bz2
175,"{'', '.txt', '.yaml', '.json', '.rendered', '.pyc', '.py'}",billiard-3.3.0.23-py34_3.tar.bz2
176,"{'', '.patch', '.bat', '.txt', '.yaml', '.json', '.sh', '.rendered', '.ucm'}",icu-56.1-vc9_3.tar.bz2
177,"{'', '.patch', '.exe', '.bat', '.txt', '.xml', '.yaml', '.json', '.tmpl', '.sh', '.rendered', '.pyc', '.py'}",setuptools-28.6.0-py34_0.tar.bz2
