,ext,name
150,"{'', '.txt', '.py', '.pyc', '.json', '.yaml', '.template'}",mu_repo-1.5.0-py36_0.tar.bz2
151,"{'', '.py', '.pyc', '.egg-info', '.json', '.yaml', '.template'}",pysocks-1.5.7-py36_0.tar.bz2
152,"{'', '.txt', '.py', '.rendered', '.test', '.pyc', '.json', '.yaml'}",pytest-3.0.5-py27_0.tar.bz2
153,"{'', '.txt', '.py', '.pyc', '.json', '.yaml', '.template'}",boltons-17.1.0-py36_0.tar.bz2
154,"{'', '.c', '.sh', '.txt', '.pxi', '.h', '.py', '.pxd', '.so', '.pyc', '.json', '.bat', '.yaml', '.template'}",pyzmq-16.0.2-py35_2.tar.bz2
155,"{'', '.prmtop', '.xvg', '.gro', '.arc', '.dcd', '.crd', '.mdcrd', '.xtc', '.gz', '.lammpstrj', '.nc', '.rst7', '.trr', '.md', '.binpos', '.so', '.pyc', '.h5', '.pdb', '.xyz', '.xpsf', '.h', '.dtr', '.mdcrdbox', '.a', '.bz2', '.dat', '.parm7', '.hoomdxml', '.xml', '.txt', '.lh5', '.py', '.rendered', '.js', '.mol2', '.json', '.mdp', '.yaml', '.psf'}",mdtraj-1.7.2-np110py35_0.tar.bz2
156,"{'', '.txt', '.py', '.pyc', '.json', '.yaml', '.template'}",tempita-0.5.3dev-py27_0.tar.bz2
157,"{'', '.pickle', '.xpt', '.txt', '.html', '.csv', '.py', '.rendered', '.so', '.bz2', '.pyc', '.gz', '.json', '.msgpack', '.xlsx', '.yaml', '.dta', '.xlsm', '.xls', '.sas7bdat', '.h5'}",pandas-0.19.2-np111py27_0.tar.bz2
158,"{'', '.css', '.xml', '.eot', '.txt', '.png', '.ico', '.woff', '.ttf', '.html', '.svg', '.py', '.rendered', '.woff2', '.js', '.pyc', '.json', '.mustache', '.yaml'}",mkdocs-0.16.1-py27_0.tar.bz2
159,"{'', '.css', '.c', '.cu', '.txt', '.png', '.h', '.vertexshader', '.html', '.py', '.pxd', '.rendered', '.so', '.pyx', '.js', '.pyc', '.cpp', '.json', '.fragmentshader', '.yaml'}",yt-3.3.2-np110py27_2.tar.bz2
160,"{'', '.txt', '.py', '.rendered', '.pyc', '.json', '.yaml'}",oauth2client-2.2.0-py34_0.tar.bz2
161,"{'', '.txt', '.py', '.so', '.pyc', '.json', '.yaml', '.template'}",misaka-2.1.0-py27_0.tar.bz2
162,"{'', '.sh', '.txt', '.capnp', '.h', '.py', '.pxd', '.so', '.pyx', '.pyc', '.json', '.yaml', '.template', '.tmpl'}",pycapnp-0.5.10-py36_0.tar.bz2
163,"{'', '.prmtop', '.gro', '.xvg', '.arc', '.dcd', '.crd', '.mdcrd', '.xtc', '.gz', '.lammpstrj', '.nc', '.rst7', '.trr', '.md', '.binpos', '.so', '.pyc', '.h5', '.pdb', '.xyz', '.xpsf', '.h', '.dtr', '.mdcrdbox', '.a', '.bz2', '.template', '.dat', '.parm7', '.hoomdxml', '.xml', '.txt', '.lh5', '.py', '.patch', '.tng', '.mol2', '.json', '.mdp', '.yaml', '.psf'}",mdtraj-1.8.0-np111py36_1.tar.bz2
164,"{'', '.sh', '.dtd', '.txt', '.pdf', '.5', '.h', '.supp', '.patch', '.rendered', '.la', '.1', '.pc', '.so', '.3', '.7', '.json', '.yaml', '.service'}",libhwloc-1.11.4-2.tar.bz2
165,"{'', '.txt', '.py', '.1', '.pyc', '.json', '.yaml'}",qrcode-5.2.2-py35_0.tar.bz2
166,"{'', '.txt', '.py', '.pyc', '.json', '.yaml', '.template'}",pytools-2017.3-py35_0.tar.bz2
167,"{'', '.txt', '.cfg', '.py', '.pyc', '.json', '.yaml', '.py_tmpl', '.pth'}",pastescript-2.0.2-py27_0.tar.bz2
168,"{'', '.txt', '.h', '.cpp', '.py', '.so', '.pyc', '.json', '.yaml'}",bob.learn.mlp-2.0.11-py27_0.tar.bz2
169,"{'', '.txt', '.png', '.md', '.py', '.so', '.ui', '.tif', '.pyc', '.json', '.qrc', '.yaml', '.ipynb', '.template', '.cfg', '.bmp'}",openpiv-0.20.6-np110py27_0.tar.bz2
170,"{'', '.sh', '.5', '.h', '.rendered', '.la', '.1', '.pc', '.13', '.3', '.so', '.json', '.a', '.yaml'}",libarchive-3.2.1-0.tar.bz2
171,"{'', '.txt', '.py', '.rendered', '.pyc', '.json', '.yaml'}",podaacpy-1.4.0-py27_0.tar.bz2
172,"{'', '.css', '.sh', '.txt', '.py', '.rendered', '.js', '.pyc', '.json', '.bat', '.yaml'}",nbexamples-0.2.0-py34_0.tar.bz2
173,"{'', '.txt', '.py', '.pyc', '.json', '.bat', '.yaml'}",geojson-1.3.2-py34_0.tar.bz2
174,"{'', '.txt', '.py', '.pyc', '.json', '.yaml', '.template'}",gunicorn-19.7.1-py27_0.tar.bz2
175,"{'', '.css', '.pyw', '.html', '.csh', '.local', '.sample', '.5', '.fish', '.o', '.config', '.so', '.pc', '.pyc', '.in', '.bat', '.5m', '.cfg', '.c', '.pickle', '.png', '.h', '.icns', '.a', '.0', '.template', '.sh', '.txt', '.ico', '.exe', '.gif', '.py', '.patch', '.1', '.json', '.5-config', '.yaml', '.def', '.5m-config', '.rst', '.ctypes'}",python-3.5.3-2.tar.bz2
176,"{'', '.sh', '.txt', '.h', '.py', '.rendered', '.la', '.so', '.pyo', '.pc', '.pyc', '.7', '.json', '.0', '.a', '.yaml'}",xraylib-3.2.0-np111py27_0.tar.bz2
